Date,MMWR_week,Location,Distributed,Administered,Admin_Per_100K,Recip_Administered,Administered_Dose1_Recip,Series_Complete_Yes,Additional_Doses,Second_Booster,Administered_Bivalent
01/05/2022,1,AS,83310,78810,166294,79122,40874,34756,3725,,
01/05/2022,1,MH,68980,48690,62631,48754,26251,23060,1609,,
01/05/2022,1,MI,18107310,14116247,141348,14358276,6367463,5696274,2441349,,
01/04/2022,1,OK,6255070,5352649,135271,5301422,2627437,2124053,651260,,
01/04/2022,1,MI,17993970,14089732,141083,14330973,6361901,5690977,2425302,,
01/04/2022,1,IN,11039970,8545638,126936,8537999,3907008,3505345,1249701,,
01/04/2022,1,NY,38995275,34625869,177992,34631698,16459191,14014339,4749684,,
01/04/2022,1,MT,1726035,1449586,135630,1448306,664641,578347,233008,,
01/04/2022,1,OH,19786295,16086902,137623,15965883,7096661,6480319,2754498,,
01/04/2022,1,WV,3342455,2508401,139966,2499806,1113945,989663,380013,,
12/28/2020,53,MD,212050,22974,380,0,0,0,,,
01/04/2022,1,CT,7417465,6728550,188724,6740347,3185162,2670543,1062370,,
01/04/2022,1,DD2,6254550,6910539,0,6910539,3858300,2878110,1177,,
01/04/2022,1,NE,3411270,2883386,149058,2889844,1289705,1162039,480353,,
01/04/2022,1,NH,2932510,2415002,177611,2404064,1351180,916131,133744,,
01/04/2022,1,NM,3783885,3456034,164822,3574257,1697420,1392059,548134,,
01/04/2022,1,TN,10859550,8999662,131783,8815983,4028406,3519068,1276638,,
01/04/2022,1,UT,5393420,4554300,142057,4510620,2167023,1890853,586645,,
01/04/2022,1,MA,14667220,13114037,190265,13170498,6283806,5156701,2042504,,
01/04/2022,1,VA2,7525480,6972095,0,6972095,3339407,2911829,940007,,
01/04/2022,1,GU,281460,293835,174394,294370,141062,127146,32972,,
01/04/2022,1,AS,83310,78317,165254,78630,40726,34503,3634,,
01/04/2022,1,WY,844805,689167,119077,686740,324590,276039,100781,,
01/04/2022,1,DE,1975035,1597853,164090,1564269,750915,627242,222425,,
12/28/2020,53,VA,259600,46521,545,0,0,0,,,
01/04/2022,1,PA,25634675,20306119,158617,20358761,10084465,8204805,2702528,,
01/04/2022,1,VI,135860,131056,123300,128487,63692,53912,12453,,
01/04/2022,1,ME,2908270,2532859,188427,2544463,1159748,1022259,464138,,
01/04/2022,1,AK,1314415,1030144,140818,1029078,477065,413047,145832,,
01/04/2022,1,AR,4981960,3829294,126890,3857559,1900699,1551015,483097,,
01/04/2022,1,MH,68980,48690,62631,48754,26251,23060,1609,,
01/04/2022,1,HI,2971770,2265509,160008,2294525,1264271,904205,165728,,
01/04/2022,1,WI,10094315,9195748,157936,9170265,3988497,3618725,1653877,,
01/04/2022,1,SC,8807355,6777489,131635,6750032,3249711,2745083,884755,,
01/04/2022,1,VA,16878615,14632219,171427,14589181,6785415,5824108,2207564,,
01/04/2022,1,GA,18270005,13419260,126389,13457527,6527303,5439187,1556737,,
01/04/2022,1,BP2,299110,280239,0,280239,135910,128610,28471,,
01/04/2022,1,MP,113330,97048,187167,97151,43626,40387,14192,,
12/28/2020,53,AR,95075,25034,830,0,0,0,,,
01/04/2022,1,IH2,2541295,2030663,97496,2030663,1029852,820830,194809,,
01/04/2022,1,MO,9882695,8113947,132204,8038831,3834912,3259014,1102818,,
01/04/2022,1,SD,1581285,1271765,143758,1281775,630950,507287,177300,,
01/04/2022,1,MD,13280810,10517952,173975,10602398,4886785,4267296,1651090,,
01/04/2022,1,VT,1426190,1263805,202536,1248433,560055,485140,244412,,
01/04/2022,1,LA,6871910,5687950,122353,5629519,2682204,2344694,744587,,
01/04/2022,1,ND,1179940,1020643,133932,996406,476119,402053,148910,,
01/04/2022,1,US,614411815,512665013,154413,512665013,244947293,206581659,71635989,,
01/04/2022,1,MN,10830940,9218747,163464,9222941,4043590,3702329,1754062,,
01/04/2022,1,PR,6434610,5967394,186849,5966697,2852513,2465539,731651,,
01/04/2022,1,IL,23217835,20006703,157883,20209403,9201776,8162058,3243664,,
